year_month,profit
2019-10-22,303.0
2019-10-23,285.0
2019-10-24,48.0
2019-10-25,232.0
2019-10-26,257.0
2019-10-27,127.0
2019-10-28,101.0
2019-10-29,55.0
2019-10-30,74.0
2019-10-31,285.0
2019-11-01,65.0
2019-11-02,294.0
2019-11-03,92.0
2019-11-04,103.0
2019-11-05,50.0
2019-11-06,159.0
2019-11-07,113.0
2019-11-08,133.0
2019-11-09,236.0
2019-11-10,317.0
2019-11-11,129.0
2019-11-12,198.0
2019-11-13,124.0
2019-11-14,120.0
2019-11-15,33.0
2019-11-16,17.0
2019-11-17,20.0
2019-11-18,142.0
2019-11-19,125.0
2019-11-20,53.0
2019-11-21,58.0
2019-11-22,38.0
2019-11-23,174.0
2019-11-24,90.0
2019-11-25,365.0
2019-11-26,225.0
2019-11-27,106.0
2019-11-28,159.0
2019-11-29,90.0
2019-11-30,48.0
2019-12-01,161.0
2019-12-02,162.0
2019-12-03,125.0
2019-12-04,200.0
2019-12-05,84.0
2019-12-06,186.0
2019-12-07,152.0
2019-12-08,321.0
2019-12-09,70.0
2019-12-10,72.0
2019-12-11,43.0
2019-12-12,102.0
2019-12-13,132.0
2019-12-14,182.0
2019-12-15,40.0
2019-12-16,80.0
2019-12-17,114.0
2019-12-18,492.0
2019-12-19,190.0
2019-12-20,211.0
2019-12-21,51.0
2019-12-22,129.0
2019-12-23,41.0
2019-12-24,19.0
2019-12-25,256.0
2019-12-26,117.0
2019-12-27,308.0
2019-12-28,56.0
2019-12-29,364.0
2019-12-30,133.0
2019-12-31,374.0
2020-01-01,150.0
2020-01-02,261.0
2020-01-03,119.0
2020-01-04,379.0
2020-01-05,184.0
2020-01-06,190.0
2020-01-07,205.0
2020-01-08,165.0
2020-01-09,308.0
2020-01-10,222.0
2020-01-11,318.0
2020-01-12,212.0
2020-01-13,99.0
2020-01-14,57.0
2020-01-15,127.0
2020-01-16,284.0
2020-01-17,121.0
2020-01-18,187.0
2020-01-19,141.0
2020-01-20,242.0
2020-01-21,567.0
2020-01-22,209.0
2020-01-23,86.0
2020-01-24,218.0
2020-01-25,171.0
2020-01-26,162.0
2020-01-27,435.0
2020-01-28,105.0
2020-01-29,49.0
2020-01-30,197.0
2020-01-31,147.0
2020-02-01,183.0
2020-02-02,155.0
2020-02-03,740.0
2020-02-04,228.0
2020-02-05,80.0
2020-02-06,111.0
2020-02-07,126.0
2020-02-08,55.0
2020-02-09,107.0
2020-02-10,69.0
2020-02-11,231.0
2020-02-12,201.0
2020-02-13,89.0
2020-02-14,312.0
2020-02-15,185.0
2020-02-16,406.0
2020-02-17,227.0
2020-02-18,282.0
2020-02-19,115.0
2020-02-20,313.0
2020-02-21,69.0
2020-02-22,260.0
2020-02-23,485.0
2020-02-24,208.0
2020-02-25,415.0
2020-02-26,175.0
2020-02-27,264.0
2020-02-28,124.0
2020-02-29,292.0
2020-03-01,648.0
2020-03-02,679.0
2020-03-03,237.0
2020-03-04,148.0
2020-03-05,198.0
2020-03-06,146.0
2020-03-07,401.0
2020-03-08,160.0
2020-03-09,106.0
2020-03-10,377.0
2020-03-11,201.0
2020-03-12,360.0
2020-03-13,91.0
2020-03-14,142.0
2020-03-15,296.0
2020-03-16,110.0
2020-03-17,134.0
2020-03-18,111.0
2020-03-19,97.0
2020-03-20,56.0
2020-03-21,168.0
2020-03-22,305.0
2020-03-23,348.0
2020-03-24,460.0
2020-03-25,349.0
2020-03-26,604.0
2020-03-27,275.0
2020-03-28,442.0
2020-03-29,530.0
2020-03-30,142.0
2020-03-31,153.0
2020-04-01,304.0
2020-04-02,330.0
2020-04-03,220.0
2020-04-04,60.0
2020-04-05,255.0
2020-04-06,218.0
2020-04-07,156.0
2020-04-08,247.0
2020-04-09,311.0
2020-04-10,169.0
2020-04-11,399.0
2020-04-12,113.0
2020-04-13,156.0
2020-04-14,329.0
2020-04-15,438.0
2020-04-16,201.0
2020-04-17,163.0
2020-04-18,64.0
2020-04-19,165.0
2020-04-20,188.0
2020-04-21,481.0
2020-04-22,454.0
2020-04-23,213.0
2020-04-24,218.0
2020-04-25,335.0
2020-04-26,361.0
2020-04-27,357.0
2020-04-28,280.0
2020-04-29,259.0
2020-04-30,280.0
2020-05-01,313.0
2020-05-02,206.0
2020-05-03,252.0
2020-05-04,301.0
2020-05-05,272.0
2020-05-06,350.0
2020-05-07,514.0
2020-05-08,246.0
2020-05-09,100.0
2020-05-10,163.0
2020-05-11,238.0
2020-05-12,427.0
2020-05-13,231.0
2020-05-14,167.0
2020-05-15,217.0
2020-05-16,267.0
2020-05-17,204.0
2020-05-18,153.0
2020-05-19,388.0
2020-05-20,77.0
2020-05-21,348.0
2020-05-22,380.0
2020-05-23,343.0
2020-05-24,440.0
2020-05-25,176.0
2020-05-26,322.0
2020-05-27,186.0
2020-05-28,261.0
2020-05-29,425.0
2020-05-30,309.0
2020-05-31,281.0
2020-06-01,251.0
2020-06-02,377.0
2020-06-03,245.0
2020-06-04,262.0
2020-06-05,236.0
2020-06-06,373.0
2020-06-07,142.0
2020-06-08,97.0
2020-06-09,217.0
2020-06-10,571.0
2020-06-11,353.0
2020-06-12,225.0
2020-06-13,342.0
2020-06-14,268.0
2020-06-15,181.0
2020-06-16,229.0
2020-06-17,412.0
2020-06-18,130.0
2020-06-19,324.0
2020-06-20,174.0
2020-06-21,358.0
2020-06-22,158.0
2020-06-23,585.0
2020-06-24,588.0
2020-06-25,666.0
2020-06-26,438.0
2020-06-27,554.0
2020-06-28,297.0
2020-06-29,545.0
2020-06-30,315.0
2020-07-01,679.0
2020-07-02,300.0
2020-07-03,155.0
2020-07-04,257.0
2020-07-05,140.0
2020-07-06,256.0
2020-07-07,716.0
2020-07-08,132.0
2020-07-09,157.0
2020-07-10,399.0
2020-07-11,279.0
2020-07-12,199.0
2020-07-13,328.0
2020-07-14,523.0
2020-07-15,459.0
2020-07-16,326.0
2020-07-17,169.0
2020-07-18,391.0
2020-07-19,428.0
2020-07-20,651.0
2020-07-21,108.0
2020-07-22,693.0
2020-07-23,274.0
2020-07-24,483.0
2020-07-25,452.0
2020-07-26,325.0
2020-07-27,149.0
2020-07-28,448.0
2020-07-29,392.0
2020-07-30,414.0
2020-07-31,599.0
2020-08-01,300.0
2020-08-02,435.0
2020-08-03,385.0
2020-08-04,463.0
2020-08-05,333.0
2020-08-06,337.0
2020-08-07,490.0
2020-08-08,447.0
2020-08-09,109.0
2020-08-10,435.0
2020-08-11,465.0
2020-08-12,393.0
2020-08-13,282.0
2020-08-14,211.0
2020-08-15,476.0
2020-08-16,160.0
2020-08-17,628.0
2020-08-18,421.0
2020-08-19,227.0
2020-08-20,356.0
2020-08-21,108.0
2020-08-22,323.0
2020-08-23,227.0
2020-08-24,545.0
2020-08-25,255.0
2020-08-26,431.0
2020-08-27,164.0
2020-08-28,208.0
2020-08-29,555.0
2020-08-30,186.0
2020-08-31,211.0
2020-09-01,306.0
2020-09-02,295.0
2020-09-03,641.0
2020-09-04,268.0
2020-09-05,409.0
2020-09-06,467.0
2020-09-07,311.0
2020-09-08,170.0
2020-09-09,181.0
2020-09-10,240.0
2020-09-11,380.0
2020-09-12,416.0
2020-09-13,431.0
2020-09-14,186.0
2020-09-15,161.0
2020-09-16,382.0
2020-09-17,741.0
2020-09-18,313.0
2020-09-19,453.0
2020-09-20,655.0
2020-09-21,328.0
2020-09-22,624.0
2020-09-23,276.0
2020-09-24,383.0
2020-09-25,611.0
2020-09-26,210.0
2020-09-27,365.0
2020-09-28,383.0
2020-09-29,391.0
2020-09-30,308.0
2020-10-01,489.0
2020-10-02,578.0
2020-10-03,257.0
2020-10-04,444.0
2020-10-05,464.0
2020-10-06,614.0
2020-10-07,477.0
2020-10-08,539.0
2020-10-09,233.0
2020-10-10,132.0
2020-10-11,199.0
2020-10-12,691.0
2020-10-13,496.0
2020-10-14,304.0
2020-10-15,406.0
2020-10-16,473.0
2020-10-17,554.0
2020-10-18,202.0
2020-10-19,354.0
2020-10-20,285.0
2020-10-21,250.0
2020-10-22,436.0
2020-10-23,180.0
2020-10-24,227.0
2020-10-25,152.0
2020-10-26,174.0
2020-10-27,214.0
2020-10-28,293.0
2020-10-29,249.0
2020-10-30,609.0
2020-10-31,609.0
2020-11-01,751.0
2020-11-02,482.0
2020-11-03,712.0
2020-11-04,433.0
2020-11-05,423.0
2020-11-06,340.0
2020-11-07,651.0
2020-11-08,306.0
2020-11-09,241.0
2020-11-10,355.0
2020-11-11,458.0
2020-11-12,552.0
2020-11-13,707.0
2020-11-14,356.0
2020-11-15,533.0
2020-11-16,382.0
2020-11-17,212.0
2020-11-18,759.0
2020-11-19,625.0
2020-11-20,522.0
2020-11-21,582.0
2020-11-22,761.0
2020-11-23,698.0
2020-11-24,562.0
2020-11-25,518.0
2020-11-26,427.0
2020-11-27,251.0
2020-11-28,554.0
2020-11-29,312.0
2020-11-30,427.0
2020-12-01,845.0
2020-12-02,284.0
2020-12-03,649.0
2020-12-04,344.0
2020-12-05,287.0
2020-12-06,618.0
2020-12-07,655.0
2020-12-08,735.0
2020-12-09,371.0
2020-12-10,668.0
2020-12-11,443.0
2020-12-12,386.0
2020-12-13,525.0
2020-12-14,436.0
2020-12-15,207.0
2020-12-16,609.0
2020-12-17,177.0
2020-12-18,482.0
2020-12-19,214.0
2020-12-20,647.0
2020-12-21,356.0
2020-12-22,217.0
2020-12-23,314.0
2020-12-24,521.0
2020-12-25,426.0
2020-12-26,402.0
2020-12-27,297.0
2020-12-28,520.0
2020-12-29,208.0
2020-12-30,599.0
2020-12-31,497.0
2021-01-01,375.0
2021-01-02,724.0
2021-01-03,434.0
2021-01-04,438.0
2021-01-05,418.0
2021-01-06,576.0
2021-01-07,632.0
2021-01-08,268.0
2021-01-09,318.0
2021-01-10,482.0
2021-01-11,482.0
2021-01-12,636.0
2021-01-13,827.0
2021-01-14,326.0
2021-01-15,245.0
2021-01-16,757.0
2021-01-17,412.0
2021-01-18,308.0
2021-01-19,602.0
2021-01-20,520.0
2021-01-21,422.0
2021-01-22,802.0
2021-01-23,397.0
2021-01-24,564.0
2021-01-25,245.0
2021-01-26,473.0
2021-01-27,578.0
2021-01-28,426.0
2021-01-29,565.0
2021-01-30,310.0
2021-01-31,516.0
2021-02-01,391.0
2021-02-02,408.0
2021-02-03,558.0
2021-02-04,230.0
2021-02-05,788.0
2021-02-06,490.0
2021-02-07,437.0
2021-02-08,333.0
2021-02-09,266.0
2021-02-10,669.0
2021-02-11,342.0
2021-02-12,677.0
2021-02-13,415.0
2021-02-14,543.0
2021-02-15,383.0
2021-02-16,340.0
2021-02-17,671.0
2021-02-18,413.0
2021-02-19,676.0
2021-02-20,424.0
2021-02-21,596.0
2021-02-22,468.0
2021-02-23,538.0
2021-02-24,612.0
2021-02-25,568.0
2021-02-26,675.0
2021-02-27,465.0
2021-02-28,568.0
2021-03-01,609.0
2021-03-02,671.0
2021-03-03,535.0
2021-03-04,906.0
2021-03-05,446.0
2021-03-06,511.0
2021-03-07,398.0
2021-03-08,593.0
2021-03-09,489.0
2021-03-10,1198.0
2021-03-11,501.0
2021-03-12,385.0
2021-03-13,726.0
2021-03-14,842.0
2021-03-15,625.0
2021-03-16,568.0
2021-03-17,545.0
2021-03-18,227.0
2021-03-19,703.0
2021-03-20,481.0
2021-03-21,390.0
2021-03-22,303.0
2021-03-23,663.0
2021-03-24,928.0
2021-03-25,589.0
2021-03-26,518.0
2021-03-27,416.0
2021-03-28,383.0
2021-03-29,662.0
2021-03-30,798.0
2021-03-31,703.0
2021-04-01,506.0
2021-04-02,621.0
2021-04-03,774.0
2021-04-04,783.0
2021-04-05,590.0
2021-04-06,740.0
2021-04-07,779.0
2021-04-08,417.0
2021-04-09,577.0
2021-04-10,1326.0
2021-04-11,653.0
2021-04-12,302.0
2021-04-13,158.0
2021-04-14,366.0
2021-04-15,418.0
2021-04-16,445.0
2021-04-17,384.0
2021-04-18,430.0
2021-04-19,380.0
2021-04-20,384.0
2021-04-21,368.0
2021-04-22,1055.0
2021-04-23,735.0
2021-04-24,845.0
2021-04-25,869.0
2021-04-26,875.0
2021-04-27,604.0
2021-04-28,339.0
2021-04-29,555.0
2021-04-30,796.0
2021-05-01,431.0
2021-05-02,528.0
2021-05-03,584.0
2021-05-04,581.0
2021-05-05,782.0
2021-05-06,329.0
2021-05-07,328.0
2021-05-08,504.0
2021-05-09,586.0
2021-05-10,559.0
2021-05-11,846.0
2021-05-12,787.0
2021-05-13,541.0
2021-05-14,803.0
2021-05-15,719.0
2021-05-16,755.0
2021-05-17,698.0
2021-05-18,723.0
2021-05-19,291.0
2021-05-20,519.0
2021-05-21,275.0
2021-05-22,724.0
2021-05-23,263.0
2021-05-24,410.0
2021-05-25,588.0
2021-05-26,639.0
2021-05-27,631.0
2021-05-28,359.0
2021-05-29,460.0
2021-05-30,707.0
2021-05-31,593.0
2021-06-01,567.0
2021-06-02,906.0
2021-06-03,543.0
2021-06-04,538.0
2021-06-05,632.0
2021-06-06,412.0
2021-06-07,675.0
2021-06-08,512.0
2021-06-09,622.0
2021-06-10,428.0
2021-06-11,396.0
2021-06-12,622.0
2021-06-13,1403.0
2021-06-14,955.0
2021-06-15,674.0
2021-06-16,919.0
2021-06-17,795.0
2021-06-18,738.0
2021-06-19,589.0
2021-06-20,517.0
2021-06-21,664.0
2021-06-22,375.0
2021-06-23,291.0
2021-06-24,407.0
2021-06-25,576.0
2021-06-26,665.0
2021-06-27,1492.0
2021-06-28,963.0
2021-06-29,1267.0
2021-06-30,756.0
2021-07-01,702.0
2021-07-02,1307.0
2021-07-03,537.0
2021-07-04,629.0
2021-07-05,921.0
2021-07-06,929.0
2021-07-07,542.0
2021-07-08,961.0
2021-07-09,642.0
2021-07-10,865.0
2021-07-11,1291.0
2021-07-12,570.0
2021-07-13,545.0
2021-07-14,1133.0
2021-07-15,709.0
2021-07-16,755.0
2021-07-17,614.0
2021-07-18,219.0
2021-07-19,1024.0
2021-07-20,836.0
2021-07-21,903.0
2021-07-22,869.0
2021-07-23,707.0
2021-07-24,532.0
2021-07-25,532.0
2021-07-26,804.0
2021-07-27,556.0
2021-07-28,815.0
2021-07-29,866.0
2021-07-30,1341.0
2021-07-31,529.0
2021-08-01,1134.0
2021-08-02,745.0
2021-08-03,445.0
2021-08-04,505.0
2021-08-05,494.0
2021-08-06,565.0
2021-08-07,647.0
2021-08-08,730.0
2021-08-09,914.0
2021-08-10,857.0
2021-08-11,892.0
2021-08-12,726.0
2021-08-13,804.0
2021-08-14,708.0
2021-08-15,408.0
2021-08-16,753.0
2021-08-17,636.0
2021-08-18,637.0
2021-08-19,468.0
2021-08-20,853.0
2021-08-21,1213.0
2021-08-22,583.0
2021-08-23,475.0
2021-08-24,1103.0
2021-08-25,1178.0
2021-08-26,574.0
2021-08-27,614.0
2021-08-28,497.0
2021-08-29,622.0
2021-08-30,857.0
2021-08-31,737.0
2021-09-01,727.0
2021-09-02,630.0
2021-09-03,866.0
2021-09-04,613.0
2021-09-05,736.0
2021-09-06,225.0
2021-09-07,628.0
2021-09-08,749.0
2021-09-09,730.0
2021-09-10,909.0
2021-09-11,543.0
2021-09-12,1420.0
2021-09-13,542.0
2021-09-14,307.0
2021-09-15,832.0
2021-09-16,872.0
2021-09-17,1142.0
2021-09-18,747.0
2021-09-19,966.0
2021-09-20,875.0
2021-09-21,1042.0
2021-09-22,1016.0
2021-09-23,834.0
2021-09-24,481.0
2021-09-25,800.0
2021-09-26,604.0
2021-09-27,627.0
2021-09-28,575.0
2021-09-29,1386.0
2021-09-30,560.0
2021-10-01,546.0
2021-10-02,782.0
2021-10-03,550.0
2021-10-04,732.0
2021-10-05,873.0
2021-10-06,728.0
2021-10-07,1022.0
2021-10-08,796.0
2021-10-09,646.0
2021-10-10,457.0
2021-10-11,639.0
2021-10-12,817.0
2021-10-13,709.0
2021-10-14,639.0
2021-10-15,719.0
2021-10-16,1154.0
2021-10-17,891.0
2021-10-18,1458.0
2021-10-19,1436.0
2021-10-20,697.0
2021-10-21,1264.0
2021-10-22,511.0
2021-10-23,291.0
2021-10-24,739.0
2021-10-25,1252.0
2021-10-26,688.0
2021-10-27,737.0
2021-10-28,827.0
2021-10-29,745.0
2021-10-30,604.0
2021-10-31,606.0
2021-11-01,499.0
2021-11-02,374.0
2021-11-03,732.0
2021-11-04,943.0
2021-11-05,625.0
2021-11-06,928.0
2021-11-07,716.0
2021-11-08,307.0
2021-11-09,969.0
2021-11-10,680.0
2021-11-11,955.0
2021-11-12,593.0
2021-11-13,805.0
2021-11-14,580.0
2021-11-15,867.0
2021-11-16,300.0
2021-11-17,1257.0
2021-11-18,385.0
2021-11-19,941.0
2021-11-20,595.0
2021-11-21,694.0
2021-11-22,882.0
2021-11-23,1051.0
2021-11-24,1201.0
2021-11-25,821.0
2021-11-26,742.0
2021-11-27,510.0
2021-11-28,852.0
2021-11-29,799.0
2021-11-30,985.0
2021-12-01,860.0
2021-12-02,983.0
2021-12-03,635.0
2021-12-04,623.0
2021-12-05,671.0
2021-12-06,721.0
2021-12-07,892.0
2021-12-08,1555.0
2021-12-09,378.0
2021-12-10,986.0
2021-12-11,1124.0
2021-12-12,689.0
2021-12-13,789.0
2021-12-14,728.0
2021-12-15,807.0
2021-12-16,758.0
2021-12-17,969.0
2021-12-18,745.0
2021-12-19,1140.0
2021-12-20,1363.0
2021-12-21,861.0
2021-12-22,837.0
2021-12-23,469.0
2021-12-24,1257.0
2021-12-25,1357.0
2021-12-26,1051.0
2021-12-27,1391.0
2021-12-28,1170.0
2021-12-29,844.0
2021-12-30,736.0
2021-12-31,598.0
2022-01-01,374.0
2022-01-02,1441.0
2022-01-03,1519.0
2022-01-04,792.0
2022-01-05,969.0
2022-01-06,1219.0
2022-01-07,906.0
2022-01-08,942.0
2022-01-09,612.0
2022-01-10,830.0
2022-01-11,1369.0
2022-01-12,949.0
2022-01-13,1177.0
2022-01-14,1081.0
2022-01-15,520.0
2022-01-16,864.0
2022-01-17,1526.0
2022-01-18,806.0
2022-01-19,558.0
2022-01-20,480.0
2022-01-21,367.0
2022-01-22,955.0
2022-01-23,759.0
2022-01-24,976.0
2022-01-25,1003.0
2022-01-26,1222.0
2022-01-27,829.0
2022-01-28,665.0
2022-01-29,922.0
2022-01-30,1004.0
2022-01-31,1572.0
2022-02-01,974.0
2022-02-02,1083.0
2022-02-03,989.0
2022-02-04,1242.0
2022-02-05,1201.0
2022-02-06,1211.0
2022-02-07,1293.0
2022-02-08,641.0
2022-02-09,641.0
2022-02-10,912.0
2022-02-11,1067.0
2022-02-12,613.0
2022-02-13,1189.0
2022-02-14,1132.0
2022-02-15,1251.0
2022-02-16,537.0
2022-02-17,988.0
2022-02-18,719.0
2022-02-19,703.0
2022-02-20,812.0
2022-02-21,850.0
2022-02-22,1438.0
2022-02-23,1488.0
2022-02-24,829.0
2022-02-25,1155.0
2022-02-26,989.0
2022-02-27,943.0
2022-02-28,926.0
2022-03-01,823.0
2022-03-02,631.0
2022-03-03,996.0
2022-03-04,1419.0
2022-03-05,483.0
2022-03-06,963.0
2022-03-07,885.0
2022-03-08,736.0
2022-03-09,1239.0
2022-03-10,1302.0
2022-03-11,611.0
2022-03-12,900.0
2022-03-13,1109.0
2022-03-14,649.0
2022-03-15,1020.0
2022-03-16,612.0
2022-03-17,1184.0
2022-03-18,1261.0
2022-03-19,1514.0
2022-03-20,914.0
2022-03-21,897.0
2022-03-22,962.0
2022-03-23,1636.0
2022-03-24,1391.0
2022-03-25,714.0
2022-03-26,952.0
2022-03-27,1130.0
2022-03-28,858.0
2022-03-29,812.0
2022-03-30,1413.0
2022-03-31,589.0
2022-04-01,1389.0
2022-04-02,630.0
2022-04-03,676.0
2022-04-04,1423.0
2022-04-05,1396.0
2022-04-06,1068.0
2022-04-07,1072.0
2022-04-08,1115.0
2022-04-09,1381.0
2022-04-10,829.0
2022-04-11,971.0
2022-04-12,1096.0
2022-04-13,984.0
2022-04-14,607.0
2022-04-15,889.0
2022-04-16,491.0
2022-04-17,1056.0
2022-04-18,878.0
2022-04-19,1217.0
2022-04-20,1180.0
2022-04-21,1544.0
2022-04-22,1195.0
2022-04-23,1126.0
2022-04-24,1310.0
2022-04-25,1016.0
2022-04-26,1360.0
2022-04-27,1371.0
2022-04-28,1724.0
2022-04-29,772.0
2022-04-30,1038.0
2022-05-01,1505.0
2022-05-02,1549.0
2022-05-03,1177.0
2022-05-04,1260.0
2022-05-05,942.0
2022-05-06,1095.0
2022-05-07,879.0
2022-05-08,935.0
2022-05-09,772.0
2022-05-10,860.0
2022-05-11,1102.0
2022-05-12,1122.0
2022-05-13,580.0
2022-05-14,896.0
2022-05-15,965.0
2022-05-16,861.0
2022-05-17,587.0
2022-05-18,1901.0
2022-05-19,1136.0
2022-05-20,1171.0
2022-05-21,1022.0
2022-05-22,658.0
2022-05-23,956.0
2022-05-24,1165.0
2022-05-25,1267.0
2022-05-26,1149.0
2022-05-27,1262.0
2022-05-28,1422.0
2022-05-29,879.0
2022-05-30,1247.0
2022-05-31,1288.0
2022-06-01,1793.0
2022-06-02,1456.0
2022-06-03,1180.0
2022-06-04,878.0
2022-06-05,1369.0
2022-06-06,875.0
2022-06-07,1068.0
2022-06-08,878.0
2022-06-09,1226.0
2022-06-10,1302.0
2022-06-11,1035.0
2022-06-12,845.0
2022-06-13,803.0
2022-06-14,778.0
2022-06-15,1064.0
2022-06-16,1102.0
2022-06-17,1397.0
2022-06-18,1232.0
2022-06-19,1186.0
2022-06-20,1182.0
2022-06-21,1367.0
2022-06-22,1794.0
2022-06-23,803.0
2022-06-24,1827.0
2022-06-25,1042.0
2022-06-26,1710.0
2022-06-27,1361.0
2022-06-28,1545.0
2022-06-29,1249.0
2022-06-30,1403.0
2022-07-01,1816.0
2022-07-02,1233.0
2022-07-03,897.0
2022-07-04,1167.0
2022-07-05,862.0
2022-07-06,996.0
2022-07-07,789.0
2022-07-08,1218.0
2022-07-09,1139.0
2022-07-10,1554.0
2022-07-11,863.0
2022-07-12,1010.0
2022-07-13,1150.0
2022-07-14,1128.0
2022-07-15,1358.0
2022-07-16,1353.0
2022-07-17,902.0
2022-07-18,1271.0
2022-07-19,1087.0
2022-07-20,1374.0
2022-07-21,1287.0
2022-07-22,1347.0
2022-07-23,795.0
2022-07-24,1050.0
2022-07-25,717.0
2022-07-26,1332.0
2022-07-27,766.0
2022-07-28,947.0
2022-07-29,1478.0
2022-07-30,1449.0
2022-07-31,1922.0
2022-08-01,1367.0
2022-08-02,1542.0
2022-08-03,811.0
2022-08-04,1461.0
2022-08-05,1034.0
2022-08-06,825.0
2022-08-07,1090.0
2022-08-08,1293.0
2022-08-09,924.0
2022-08-10,1470.0
2022-08-11,1138.0
2022-08-12,1758.0
2022-08-13,2102.0
